kernel,dtype,N,trial,GFLOPs,CPE
saxpy,f32,1000,0,1.142857,4.550000
saxpy,f32,1000,1,2.190581,2.373800
saxpy,f32,1000,2,2.364066,2.199600
saxpy,f32,1000,3,1.745201,2.979600
saxpy,f32,1000,4,2.409639,2.158000
saxpy,f32,1000,5,2.450980,2.121600
saxpy,f32,1000,6,1.872659,2.776800
saxpy,f32,1000,7,2.032520,2.558400
saxpy,f32,1000,8,1.998002,2.602600
saxpy,f32,1000,9,2.014099,2.581800
saxpy,f32,1393,0,2.218153,2.344293
saxpy,f32,1393,1,2.696999,1.928069
saxpy,f32,1393,2,2.960680,1.756353
saxpy,f32,1393,3,2.951271,1.761953
saxpy,f32,1393,4,2.957537,1.758220
saxpy,f32,1393,5,2.951271,1.761953
saxpy,f32,1393,6,2.957537,1.758220
saxpy,f32,1393,7,2.951271,1.761953
saxpy,f32,1393,8,2.945032,1.765686
saxpy,f32,1393,9,2.945032,1.765686
saxpy,f32,1941,0,2.981567,1.744049
saxpy,f32,1941,1,3.002320,1.731994
saxpy,f32,1941,2,3.006971,1.729315
saxpy,f32,1941,3,3.013975,1.725296
saxpy,f32,1941,4,3.025721,1.718599
saxpy,f32,1941,5,3.030445,1.715920
saxpy,f32,1941,6,3.025721,1.718599
saxpy,f32,1941,7,3.028081,1.717259
saxpy,f32,1941,8,3.023364,1.719938
saxpy,f32,1941,9,3.021012,1.721278
saxpy,f32,2704,0,2.929577,1.775000
saxpy,f32,2704,1,3.062288,1.698077
saxpy,f32,2704,2,3.053642,1.702885
saxpy,f32,2704,3,3.057094,1.700962
saxpy,f32,2704,4,3.064023,1.697115
saxpy,f32,2704,5,3.072727,1.692308
saxpy,f32,2704,6,3.077974,1.689423
saxpy,f32,2704,7,3.069240,1.694231
saxpy,f32,2704,8,3.062288,1.698077
saxpy,f32,2704,9,3.060555,1.699038
saxpy,f32,3767,0,3.041583,1.709636
saxpy,f32,3767,1,3.047735,1.706185
saxpy,f32,3767,2,3.101688,1.676507
saxpy,f32,3767,3,3.108086,1.673055
saxpy,f32,3767,4,3.105523,1.674436
saxpy,f32,3767,5,3.099136,1.677887
saxpy,f32,3767,6,3.096589,1.679267
saxpy,f32,3767,7,3.105523,1.674436
saxpy,f32,3767,8,3.105523,1.674436
saxpy,f32,3767,9,3.095316,1.679958
saxpy,f32,5248,0,3.037916,1.711700
saxpy,f32,5248,1,3.071700,1.692873
saxpy,f32,5248,2,3.078909,1.688910
saxpy,f32,5248,3,3.089785,1.682965
saxpy,f32,5248,4,3.089785,1.682965
saxpy,f32,5248,5,3.103489,1.675534
saxpy,f32,5248,6,3.118241,1.667607
saxpy,f32,5248,7,3.125670,1.663643
saxpy,f32,5248,8,3.129398,1.661662
saxpy,f32,5248,9,3.119168,1.667111
saxpy,f32,7312,0,2.846798,1.826614
saxpy,f32,7312,1,3.083931,1.686160
saxpy,f32,7312,2,3.128798,1.661980
saxpy,f32,7312,3,3.130137,1.661269
saxpy,f32,7312,4,3.090448,1.682604
saxpy,f32,7312,5,3.085883,1.685093
saxpy,f32,7312,6,3.124786,1.664114
saxpy,f32,7312,7,2.131778,2.439278
saxpy,f32,7312,8,2.198437,2.365317
saxpy,f32,7312,9,2.140829,2.428966
saxpy,f32,10186,0,3.067610,1.695131
saxpy,f32,10186,1,2.997205,1.734950
saxpy,f32,10186,2,3.065302,1.696407
saxpy,f32,10186,3,3.110229,1.671903
saxpy,f32,10186,4,3.022552,1.720401
saxpy,f32,10186,5,3.047876,1.706106
saxpy,f32,10186,6,2.985783,1.741586
saxpy,f32,10186,7,3.149660,1.650972
saxpy,f32,10186,8,3.038783,1.711211
saxpy,f32,10186,9,3.138499,1.656843
saxpy,f32,14191,0,2.479210,2.097442
saxpy,f32,14191,1,2.220988,2.341301
saxpy,f32,14191,2,2.309733,2.251342
saxpy,f32,14191,3,2.330405,2.231372
saxpy,f32,14191,4,1.642477,3.165950
saxpy,f32,14191,5,1.658021,3.136269
saxpy,f32,14191,6,2.332128,2.229723
saxpy,f32,14191,7,2.366942,2.196928
saxpy,f32,14191,8,2.672253,1.945923
saxpy,f32,14191,9,2.711052,1.918075
saxpy,f32,19771,0,2.213254,2.349482
saxpy,f32,19771,1,2.392136,2.173790
saxpy,f32,19771,2,2.463369,2.110930
saxpy,f32,19771,3,2.210903,2.351980
saxpy,f32,19771,4,2.427379,2.142229
saxpy,f32,19771,5,2.290829,2.269921
saxpy,f32,19771,6,2.809578,1.850812
saxpy,f32,19771,7,2.502025,2.078317
saxpy,f32,19771,8,2.358886,2.204431
saxpy,f32,19771,9,2.349914,2.212847
saxpy,f32,27544,0,2.847514,1.826155
saxpy,f32,27544,1,2.882981,1.803689
saxpy,f32,27544,2,2.579026,2.016265
saxpy,f32,27544,3,3.029976,1.716185
saxpy,f32,27544,4,2.816504,1.846261
saxpy,f32,27544,5,2.586413,2.010507
saxpy,f32,27544,6,2.283819,2.276888
saxpy,f32,27544,7,2.948405,1.763665
saxpy,f32,27544,8,2.919343,1.781223
saxpy,f32,27544,9,3.001417,1.732515
saxpy,f32,38374,0,2.120286,2.452499
saxpy,f32,38374,1,2.524356,2.059931
saxpy,f32,38374,2,2.563565,2.028425
saxpy,f32,38374,3,2.625210,1.980794
saxpy,f32,38374,4,2.627816,1.978829
saxpy,f32,38374,5,3.473546,1.497029
saxpy,f32,38374,6,3.169571,1.640600
saxpy,f32,38374,7,3.347348,1.553468
saxpy,f32,38374,8,2.605602,1.995700
saxpy,f32,38374,9,0.703516,7.391442
saxpy,f32,53461,0,2.096551,2.480264
saxpy,f32,53461,1,2.574635,2.019704
saxpy,f32,53461,2,2.707640,1.920492
saxpy,f32,53461,3,1.211155,4.293421
saxpy,f32,53461,4,2.223095,2.339081
saxpy,f32,53461,5,2.683179,1.938000
saxpy,f32,53461,6,2.818112,1.845207
saxpy,f32,53461,7,2.499345,2.080545
saxpy,f32,53461,8,2.687833,1.934644
saxpy,f32,53461,9,2.619995,1.984737
saxpy,f32,74480,0,1.198179,4.339919
saxpy,f32,74480,1,1.376036,3.778972
saxpy,f32,74480,2,3.122786,1.665180
saxpy,f32,74480,3,2.665521,1.950838
saxpy,f32,74480,4,3.036715,1.712376
saxpy,f32,74480,5,3.008381,1.728504
saxpy,f32,74480,6,2.379021,2.185773
saxpy,f32,74480,7,3.065714,1.696179
saxpy,f32,74480,8,2.867814,1.813228
saxpy,f32,74480,9,0.766977,6.779863
saxpy,f32,103763,0,3.715907,1.399389
saxpy,f32,103763,1,2.489754,2.088560
saxpy,f32,103763,2,2.989297,1.739539
saxpy,f32,103763,3,3.990808,1.302994
saxpy,f32,103763,4,3.810263,1.364735
saxpy,f32,103763,5,2.824674,1.840920
saxpy,f32,103763,6,3.480403,1.494080
saxpy,f32,103763,7,4.059506,1.280944
saxpy,f32,103763,8,2.142049,2.427582
saxpy,f32,103763,9,4.274568,1.216497
saxpy,f32,144560,0,2.834510,1.834532
saxpy,f32,144560,1,3.241074,1.604406
saxpy,f32,144560,2,3.704340,1.403759
saxpy,f32,144560,3,3.194943,1.627572
saxpy,f32,144560,4,2.453934,2.119047
saxpy,f32,144560,5,3.183475,1.633435
saxpy,f32,144560,6,4.171825,1.246457
saxpy,f32,144560,7,4.356185,1.193705
saxpy,f32,144560,8,4.338145,1.198669
saxpy,f32,144560,9,4.264181,1.219460
saxpy,f32,201396,0,2.497687,2.081926
saxpy,f32,201396,1,2.597418,2.001988
saxpy,f32,201396,2,4.223599,1.231177
saxpy,f32,201396,3,4.302506,1.208598
saxpy,f32,201396,4,4.282015,1.214382
saxpy,f32,201396,5,4.298236,1.209799
saxpy,f32,201396,6,4.337767,1.198774
saxpy,f32,201396,7,4.267000,1.218655
saxpy,f32,201396,8,4.390343,1.184418
saxpy,f32,201396,9,4.439458,1.171314
saxpy,f32,280578,0,2.694860,1.929600
saxpy,f32,280578,1,1.689532,3.077776
saxpy,f32,280578,2,2.836012,1.833561
saxpy,f32,280578,3,4.350552,1.195251
saxpy,f32,280578,4,4.310086,1.206472
saxpy,f32,280578,5,4.247771,1.224172
saxpy,f32,280578,6,2.890620,1.798922
saxpy,f32,280578,7,4.432582,1.173131
saxpy,f32,280578,8,3.556189,1.462239
saxpy,f32,280578,9,2.844494,1.828093
saxpy,f32,390892,0,2.699997,1.925928
saxpy,f32,390892,1,3.243904,1.603007
saxpy,f32,390892,2,3.259457,1.595358
saxpy,f32,390892,3,4.432887,1.173050
saxpy,f32,390892,4,2.557499,2.033236
saxpy,f32,390892,5,4.202394,1.237390
saxpy,f32,390892,6,3.252054,1.598989
saxpy,f32,390892,7,2.648409,1.963443
saxpy,f32,390892,8,2.602329,1.998210
saxpy,f32,390892,9,4.484686,1.159501
saxpy,f32,544578,0,3.035315,1.713167
saxpy,f32,544578,1,3.982740,1.305634
saxpy,f32,544578,2,4.220848,1.231980
saxpy,f32,544578,3,4.384068,1.186113
saxpy,f32,544578,4,4.371961,1.189398
saxpy,f32,544578,5,4.433916,1.172778
saxpy,f32,544578,6,4.188755,1.241419
saxpy,f32,544578,7,3.338010,1.557814
saxpy,f32,544578,8,2.912883,1.785173
saxpy,f32,544578,9,2.767354,1.879051
saxpy,f32,758688,0,2.711227,1.917951
saxpy,f32,758688,1,4.135509,1.257403
saxpy,f32,758688,2,4.187898,1.241673
saxpy,f32,758688,3,2.611469,1.991216
saxpy,f32,758688,4,4.128487,1.259541
saxpy,f32,758688,5,4.201489,1.237657
saxpy,f32,758688,6,2.457906,2.115622
saxpy,f32,758688,7,3.529126,1.473453
saxpy,f32,758688,8,3.097425,1.678814
saxpy,f32,758688,9,3.870966,1.343334
saxpy,f32,1056978,0,1.959184,2.654166
saxpy,f32,1056978,1,3.591114,1.448019
saxpy,f32,1056978,2,2.471960,2.103594
saxpy,f32,1056978,3,3.397829,1.530389
saxpy,f32,1056978,4,4.122990,1.261221
saxpy,f32,1056978,5,4.387867,1.185086
saxpy,f32,1056978,6,2.721403,1.910779
saxpy,f32,1056978,7,2.112665,2.461346
saxpy,f32,1056978,8,2.684266,1.937215
saxpy,f32,1056978,9,2.274394,2.286323
saxpy,f32,1472547,0,1.640062,3.170612
saxpy,f32,1472547,1,1.770025,2.937811
saxpy,f32,1472547,2,1.771307,2.935685
saxpy,f32,1472547,3,3.410316,1.524786
saxpy,f32,1472547,4,2.571247,2.022365
saxpy,f32,1472547,5,2.784988,1.867154
saxpy,f32,1472547,6,2.858743,1.818981
saxpy,f32,1472547,7,1.889425,2.752160
saxpy,f32,1472547,8,2.211875,2.350946
saxpy,f32,1472547,9,3.513225,1.480122
saxpy,f32,2051504,0,1.687707,3.081104
saxpy,f32,2051504,1,1.919803,2.708612
saxpy,f32,2051504,2,2.375684,2.188843
saxpy,f32,2051504,3,2.331290,2.230524
saxpy,f32,2051504,4,2.109030,2.465589
saxpy,f32,2051504,5,2.278940,2.281763
saxpy,f32,2051504,6,3.177993,1.636253
saxpy,f32,2051504,7,3.210542,1.619664
saxpy,f32,2051504,8,2.506667,2.074468
saxpy,f32,2051504,9,2.220223,2.342107
saxpy,f32,2858088,0,1.618487,3.212878
saxpy,f32,2858088,1,2.077870,2.502562
saxpy,f32,2858088,2,2.517107,2.065864
saxpy,f32,2858088,3,1.801107,2.887114
saxpy,f32,2858088,4,1.967772,2.642582
saxpy,f32,2858088,5,2.134887,2.435726
saxpy,f32,2858088,6,1.403351,3.705416
saxpy,f32,2858088,7,2.283572,2.277134
saxpy,f32,2858088,8,1.985670,2.618763
saxpy,f32,2858088,9,2.017120,2.577933
saxpy,f32,3981793,0,2.361668,2.201833
saxpy,f32,3981793,1,3.207848,1.621024
saxpy,f32,3981793,2,3.021251,1.721141
saxpy,f32,3981793,3,3.569935,1.456609
saxpy,f32,3981793,4,3.638258,1.429256
saxpy,f32,3981793,5,2.714342,1.915750
saxpy,f32,3981793,6,2.710903,1.918180
saxpy,f32,3981793,7,2.414108,2.154005
saxpy,f32,3981793,8,1.996076,2.605111
saxpy,f32,3981793,9,1.190931,4.366333
saxpy,f32,5547302,0,2.072083,2.509552
saxpy,f32,5547302,1,1.956019,2.658461
saxpy,f32,5547302,2,2.115953,2.457522
saxpy,f32,5547302,3,1.785459,2.912416
saxpy,f32,5547302,4,2.154252,2.413831
saxpy,f32,5547302,5,1.756428,2.960554
saxpy,f32,5547302,6,2.322984,2.238500
saxpy,f32,5547302,7,2.006373,2.591741
saxpy,f32,5547302,8,1.917745,2.711518
saxpy,f32,5547302,9,1.824089,2.850738
saxpy,f32,7728318,0,2.378002,2.186710
saxpy,f32,7728318,1,3.139337,1.656401
saxpy,f32,7728318,2,1.885498,2.757892
saxpy,f32,7728318,3,2.326258,2.235349
saxpy,f32,7728318,4,3.016787,1.723688
saxpy,f32,7728318,5,3.065596,1.696244
saxpy,f32,7728318,6,3.199771,1.625116
saxpy,f32,7728318,7,3.227974,1.610917
saxpy,f32,7728318,8,3.145295,1.653263
saxpy,f32,7728318,9,2.330152,2.231615
saxpy,f32,10766836,0,2.505724,2.075249
saxpy,f32,10766836,1,1.945749,2.672492
saxpy,f32,10766836,2,1.611434,3.226939
saxpy,f32,10766836,3,1.767130,2.942624
saxpy,f32,10766836,4,1.990549,2.612344
saxpy,f32,10766836,5,1.955413,2.659285
saxpy,f32,10766836,6,2.444269,2.127426
saxpy,f32,10766836,7,2.388795,2.176830
saxpy,f32,10766836,8,2.219252,2.343132
saxpy,f32,10766836,9,3.277534,1.586559
saxpy,f32,15000000,0,2.573228,2.020808
saxpy,f32,15000000,1,2.953041,1.760896
saxpy,f32,15000000,2,2.745525,1.893991
saxpy,f32,15000000,3,3.166878,1.641996
saxpy,f32,15000000,4,3.088077,1.683896
saxpy,f32,15000000,5,3.266217,1.592056
saxpy,f32,15000000,6,2.305593,2.255385
saxpy,f32,15000000,7,2.354985,2.208082
saxpy,f32,15000000,8,2.828201,1.838624
saxpy,f32,15000000,9,2.575863,2.018741
