kernel,dtype,N,trial,misaligned,tail_multiple,GFLOPs,CPE
saxpy,f32,1000,0,0,0,1.441092,2.081755
saxpy,f32,1000,1,0,0,2.166307,1.384845
saxpy,f32,1000,2,0,0,2.523270,1.188933
saxpy,f32,1000,3,0,0,1.823636,1.645065
saxpy,f32,1000,4,0,0,2.595084,1.156032
saxpy,f32,1000,5,0,0,2.449328,1.224826
saxpy,f32,1000,6,0,0,2.649934,1.132104
saxpy,f32,1000,7,0,0,2.292571,1.308574
saxpy,f32,1000,8,0,0,2.565217,1.169492
saxpy,f32,1000,9,0,0,2.703504,1.109671
saxpy,f32,1000,10,0,0,2.532828,1.184447
saxpy,f32,1000,11,0,0,2.122751,1.413260
saxpy,f32,1000,12,0,0,1.859129,1.613659
saxpy,f32,1000,13,0,0,1.988107,1.508973
saxpy,f32,1000,14,0,0,2.116034,1.417747
saxpy,f32,1000,15,0,0,2.385256,1.257727
saxpy,f32,1000,16,0,0,2.173348,1.380359
saxpy,f32,1000,17,0,0,2.732970,1.097707
saxpy,f32,1000,18,0,0,1.905033,1.574776
saxpy,f32,1000,19,0,0,2.467405,1.215852
saxpy,f32,1393,0,0,0,2.875386,1.043338
saxpy,f32,1393,1,0,0,3.119553,0.961676
saxpy,f32,1393,2,0,0,3.133558,0.957378
saxpy,f32,1393,3,0,0,3.144144,0.954155
saxpy,f32,1393,4,0,0,3.144144,0.954155
saxpy,f32,1393,5,0,0,3.147689,0.953080
saxpy,f32,1393,6,0,0,3.147689,0.953080
saxpy,f32,1393,7,0,0,3.137079,0.956304
saxpy,f32,1393,8,0,0,3.130045,0.958453
saxpy,f32,1393,9,0,0,3.130045,0.958453
saxpy,f32,1393,10,0,0,3.126540,0.959527
saxpy,f32,1393,11,0,0,3.144144,0.954155
saxpy,f32,1393,12,0,0,3.078280,0.974570
saxpy,f32,1393,13,0,0,3.130045,0.958453
saxpy,f32,1393,14,0,0,3.119553,0.961676
saxpy,f32,1393,15,0,0,3.151242,0.952006
saxpy,f32,1393,16,0,0,3.158371,0.949857
saxpy,f32,1393,17,0,0,3.147689,0.953080
saxpy,f32,1393,18,0,0,3.144144,0.954155
saxpy,f32,1393,19,0,0,3.133558,0.957378
saxpy,f32,1941,0,0,0,2.958904,1.013889
saxpy,f32,1941,1,0,0,3.197368,0.938272
saxpy,f32,1941,2,0,0,3.186885,0.941358
saxpy,f32,1941,3,0,0,3.221210,0.931327
saxpy,f32,1941,4,0,0,3.197368,0.938272
saxpy,f32,1941,5,0,0,3.205276,0.935957
saxpy,f32,1941,6,0,0,3.205276,0.935957
saxpy,f32,1941,7,0,0,3.213223,0.933642
saxpy,f32,1941,8,0,0,3.205276,0.935957
saxpy,f32,1941,9,0,0,3.218543,0.932099
saxpy,f32,1941,10,0,0,3.215881,0.932870
saxpy,f32,1941,11,0,0,3.207921,0.935185
saxpy,f32,1941,12,0,0,3.210570,0.934414
saxpy,f32,1941,13,0,0,3.200000,0.937500
saxpy,f32,1941,14,0,0,3.202636,0.936728
saxpy,f32,1941,15,0,0,3.207921,0.935185
saxpy,f32,1941,16,0,0,3.202636,0.936728
saxpy,f32,1941,17,0,0,3.213223,0.933642
saxpy,f32,1941,18,0,0,3.171289,0.945988
saxpy,f32,1941,19,0,0,3.213223,0.933642
saxpy,f32,2704,0,0,0,3.173505,0.945327
saxpy,f32,2704,1,0,0,3.241916,0.925379
saxpy,f32,2704,2,0,0,3.230310,0.928703
saxpy,f32,2704,3,0,0,3.251652,0.922608
saxpy,f32,2704,4,0,0,3.265380,0.918729
saxpy,f32,2704,5,0,0,3.261446,0.919837
saxpy,f32,2704,6,0,0,3.257521,0.920946
saxpy,f32,2704,7,0,0,3.259482,0.920392
saxpy,f32,2704,8,0,0,3.251652,0.922608
saxpy,f32,2704,9,0,0,3.255562,0.921500
saxpy,f32,2704,10,0,0,3.261446,0.919837
saxpy,f32,2704,11,0,0,3.261446,0.919837
saxpy,f32,2704,12,0,0,3.253606,0.922054
saxpy,f32,2704,13,0,0,3.253606,0.922054
saxpy,f32,2704,14,0,0,3.249700,0.923162
saxpy,f32,2704,15,0,0,3.253606,0.922054
saxpy,f32,2704,16,0,0,3.257521,0.920946
saxpy,f32,2704,17,0,0,3.251652,0.922608
saxpy,f32,2704,18,0,0,3.261446,0.919837
saxpy,f32,2704,19,0,0,3.265380,0.918729
saxpy,f32,3767,0,0,0,3.154812,0.950928
saxpy,f32,3767,1,0,0,3.285403,0.913130
saxpy,f32,3767,2,0,0,3.285403,0.913130
saxpy,f32,3767,3,0,0,3.288269,0.912334
saxpy,f32,3767,4,0,0,3.295455,0.910345
saxpy,f32,3767,5,0,0,3.298338,0.909549
saxpy,f32,3767,6,0,0,3.296895,0.909947
saxpy,f32,3767,7,0,0,3.285403,0.913130
saxpy,f32,3767,8,0,0,3.286835,0.912732
saxpy,f32,3767,9,0,0,3.291139,0.911538
saxpy,f32,3767,10,0,0,3.299781,0.909151
saxpy,f32,3767,11,0,0,3.291139,0.911538
saxpy,f32,3767,12,0,0,3.292576,0.911141
saxpy,f32,3767,13,0,0,3.291139,0.911538
saxpy,f32,3767,14,0,0,3.301226,0.908753
saxpy,f32,3767,15,0,0,3.301226,0.908753
saxpy,f32,3767,16,0,0,3.295455,0.910345
saxpy,f32,3767,17,0,0,3.291139,0.911538
saxpy,f32,3767,18,0,0,3.296895,0.909947
saxpy,f32,3767,19,0,0,3.304119,0.907958
saxpy,f32,5248,0,0,0,3.263518,0.919253
saxpy,f32,5248,1,0,0,3.310845,0.906113
saxpy,f32,5248,2,0,0,3.322366,0.902971
saxpy,f32,5248,3,0,0,3.319216,0.903828
saxpy,f32,5248,4,0,0,3.318167,0.904114
saxpy,f32,5248,5,0,0,3.307717,0.906970
saxpy,f32,5248,6,0,0,3.321316,0.903257
saxpy,f32,5248,7,0,0,3.312934,0.905542
saxpy,f32,5248,8,0,0,3.324470,0.902400
saxpy,f32,5248,9,0,0,3.320266,0.903542
saxpy,f32,5248,10,0,0,3.315025,0.904970
saxpy,f32,5248,11,0,0,3.319216,0.903828
saxpy,f32,5248,12,0,0,3.327630,0.901543
saxpy,f32,5248,13,0,0,3.320266,0.903542
saxpy,f32,5248,14,0,0,3.319216,0.903828
saxpy,f32,5248,15,0,0,3.327630,0.901543
saxpy,f32,5248,16,0,0,3.318167,0.904114
saxpy,f32,5248,17,0,0,3.312934,0.905542
saxpy,f32,5248,18,0,0,3.323418,0.902685
saxpy,f32,5248,19,0,0,3.323418,0.902685
saxpy,f32,7312,0,0,0,3.294303,0.910663
saxpy,f32,7312,1,0,0,3.322734,0.902871
saxpy,f32,7312,2,0,0,3.159145,0.949624
saxpy,f32,7312,3,0,0,3.328025,0.901435
saxpy,f32,7312,4,0,0,3.319719,0.903691
saxpy,f32,7312,5,0,0,3.336374,0.899180
saxpy,f32,7312,6,0,0,3.238158,0.926452
saxpy,f32,7312,7,0,0,3.327269,0.901640
saxpy,f32,7312,8,0,0,3.324244,0.902461
saxpy,f32,7312,9,0,0,3.326512,0.901846
saxpy,f32,7312,10,0,0,3.236010,0.927068
saxpy,f32,7312,11,0,0,3.327269,0.901640
saxpy,f32,7312,12,0,0,3.314454,0.905126
saxpy,f32,7312,13,0,0,3.325756,0.902051
saxpy,f32,7312,14,0,0,3.304721,0.907792
saxpy,f32,7312,15,0,0,3.323489,0.902666
saxpy,f32,7312,16,0,0,3.308458,0.906767
saxpy,f32,7312,17,0,0,3.316708,0.904511
saxpy,f32,7312,18,0,0,3.315956,0.904716
saxpy,f32,7312,19,0,0,3.328783,0.901230
saxpy,f32,10186,0,0,0,2.538366,1.181863
saxpy,f32,10186,1,0,0,2.540264,1.180979
saxpy,f32,10186,2,0,0,2.554274,1.174502
saxpy,f32,10186,3,0,0,2.554274,1.174502
saxpy,f32,10186,4,0,0,2.549481,1.176710
saxpy,f32,10186,5,0,0,2.559407,1.172146
saxpy,f32,10186,6,0,0,2.757137,1.088085
saxpy,f32,10186,7,0,0,3.335188,0.899499
saxpy,f32,10186,8,0,0,3.160360,0.949259
saxpy,f32,10186,9,0,0,3.272523,0.916724
saxpy,f32,10186,10,0,0,3.341751,0.897733
saxpy,f32,10186,11,0,0,3.348340,0.895966
saxpy,f32,10186,12,0,0,3.335734,0.899352
saxpy,f32,10186,13,0,0,2.712726,1.105899
saxpy,f32,10186,14,0,0,3.336280,0.899205
saxpy,f32,10186,15,0,0,3.335734,0.899352
saxpy,f32,10186,16,0,0,3.250080,0.923054
saxpy,f32,10186,17,0,0,2.320428,1.292865
saxpy,f32,10186,18,0,0,2.365409,1.268280
saxpy,f32,10186,19,0,0,2.299481,1.304642
saxpy,f32,14191,0,0,0,3.009116,0.996971
saxpy,f32,14191,1,0,0,3.179659,0.943497
saxpy,f32,14191,2,0,0,3.001163,0.999613
saxpy,f32,14191,3,0,0,3.009435,0.996865
saxpy,f32,14191,4,0,0,3.083641,0.972876
saxpy,f32,14191,5,0,0,2.938108,1.021065
saxpy,f32,14191,6,0,0,2.894372,1.036494
saxpy,f32,14191,7,0,0,2.206950,1.359342
saxpy,f32,14191,8,0,0,3.036799,0.987882
saxpy,f32,14191,9,0,0,2.794094,1.073693
saxpy,f32,14191,10,0,0,2.899694,1.034592
saxpy,f32,14191,11,0,0,2.912187,1.030154
saxpy,f32,14191,12,0,0,2.942676,1.019480
saxpy,f32,14191,13,0,0,2.834831,1.058264
saxpy,f32,14191,14,0,0,3.305158,0.907672
saxpy,f32,14191,15,0,0,2.883494,1.040404
saxpy,f32,14191,16,0,0,2.878232,1.042307
saxpy,f32,14191,17,0,0,3.003386,0.998873
saxpy,f32,14191,18,0,0,2.988525,1.003840
saxpy,f32,14191,19,0,0,2.827772,1.060906
saxpy,f32,19771,0,0,0,3.165866,0.947608
saxpy,f32,19771,1,0,0,3.220521,0.931526
saxpy,f32,19771,2,0,0,2.992207,1.002604
saxpy,f32,19771,3,0,0,2.980705,1.006473
saxpy,f32,19771,4,0,0,3.015019,0.995019
saxpy,f32,19771,5,0,0,3.070497,0.977041
saxpy,f32,19771,6,0,0,2.944751,1.018762
saxpy,f32,19771,7,0,0,3.064311,0.979013
saxpy,f32,19771,8,0,0,3.284172,0.913472
saxpy,f32,19771,9,0,0,3.206421,0.935623
saxpy,f32,19771,10,0,0,2.919318,1.027637
saxpy,f32,19771,11,0,0,2.997878,1.000708
saxpy,f32,19771,12,0,0,3.058623,0.980833
saxpy,f32,19771,13,0,0,3.326716,0.901790
saxpy,f32,19771,14,0,0,0.253724,11.823860
saxpy,f32,19771,15,0,0,2.387155,1.256726
saxpy,f32,19771,16,0,0,3.109608,0.964752
saxpy,f32,19771,17,0,0,2.290115,1.309978
saxpy,f32,19771,18,0,0,2.359807,1.271291
saxpy,f32,19771,19,0,0,2.429985,1.234576
saxpy,f32,27544,0,0,0,3.128563,0.958907
saxpy,f32,27544,1,0,0,3.272976,0.916597
saxpy,f32,27544,2,0,0,3.079081,0.974317
saxpy,f32,27544,3,0,0,2.954260,1.015483
saxpy,f32,27544,4,0,0,3.314922,0.904999
saxpy,f32,27544,5,0,0,3.213977,0.933423
saxpy,f32,27544,6,0,0,2.947464,1.017824
saxpy,f32,27544,7,0,0,3.043363,0.985752
saxpy,f32,27544,8,0,0,3.015545,0.994845
saxpy,f32,27544,9,0,0,3.334988,0.899553
saxpy,f32,27544,10,0,0,3.369664,0.890297
saxpy,f32,27544,11,0,0,3.150569,0.952209
saxpy,f32,27544,12,0,0,2.902740,1.033506
saxpy,f32,27544,13,0,0,2.961406,1.013032
saxpy,f32,27544,14,0,0,3.082699,0.973173
saxpy,f32,27544,15,0,0,3.348772,0.895851
saxpy,f32,27544,16,0,0,2.925863,1.025339
saxpy,f32,27544,17,0,0,2.909792,1.031002
saxpy,f32,27544,18,0,0,2.874420,1.043689
saxpy,f32,27544,19,0,0,2.861134,1.048535
saxpy,f32,38374,0,0,0,1.036012,2.895719
saxpy,f32,38374,1,0,0,1.595983,1.879720
saxpy,f32,38374,2,0,0,2.203359,1.361558
saxpy,f32,38374,3,0,0,2.460932,1.219050
saxpy,f32,38374,4,0,0,2.542955,1.179730
saxpy,f32,38374,5,0,0,2.010794,1.491948
saxpy,f32,38374,6,0,0,2.444706,1.227141
saxpy,f32,38374,7,0,0,2.337068,1.283659
saxpy,f32,38374,8,0,0,1.811176,1.656383
saxpy,f32,38374,9,0,0,2.578060,1.163666
saxpy,f32,38374,10,0,0,2.148407,1.396383
saxpy,f32,38374,11,0,0,2.548358,1.177229
saxpy,f32,38374,12,0,0,2.579880,1.162845
saxpy,f32,38374,13,0,0,2.526714,1.187313
saxpy,f32,38374,14,0,0,2.103656,1.426089
saxpy,f32,38374,15,0,0,2.551832,1.175626
saxpy,f32,38374,16,0,0,2.280883,1.315280
saxpy,f32,38374,17,0,0,2.379748,1.260638
saxpy,f32,38374,18,0,0,2.079829,1.442426
saxpy,f32,38374,19,0,0,2.612457,1.148344
saxpy,f32,53461,0,0,0,2.137064,1.403795
saxpy,f32,53461,1,0,0,2.094656,1.432216
saxpy,f32,53461,2,0,0,2.548150,1.177325
saxpy,f32,53461,3,0,0,1.197684,2.504835
saxpy,f32,53461,4,0,0,2.369071,1.266319
saxpy,f32,53461,5,0,0,2.461453,1.218792
saxpy,f32,53461,6,0,0,2.458511,1.220251
saxpy,f32,53461,7,0,0,2.401419,1.249261
saxpy,f32,53461,8,0,0,2.477594,1.210852
saxpy,f32,53461,9,0,0,0.889377,3.373148
saxpy,f32,53461,10,0,0,0.410944,7.300267
saxpy,f32,53461,11,0,0,1.192568,2.515581
saxpy,f32,53461,12,0,0,0.894451,3.354014
saxpy,f32,53461,13,0,0,2.134973,1.405170
saxpy,f32,53461,14,0,0,1.125807,2.664756
saxpy,f32,53461,15,0,0,0.907169,3.306992
saxpy,f32,53461,16,0,0,0.819541,3.660585
saxpy,f32,53461,17,0,0,0.684668,4.381687
saxpy,f32,53461,18,0,0,2.392393,1.253975
saxpy,f32,53461,19,0,0,2.601275,1.153281
saxpy,f32,74480,0,0,0,2.374868,1.263228
saxpy,f32,74480,1,0,0,2.327994,1.288663
saxpy,f32,74480,2,0,0,2.581823,1.161970
saxpy,f32,74480,3,0,0,2.297121,1.305983
saxpy,f32,74480,4,0,0,3.121406,0.961105
saxpy,f32,74480,5,0,0,3.123566,0.960441
saxpy,f32,74480,6,0,0,2.521855,1.189600
saxpy,f32,74480,7,0,0,2.827269,1.061094
saxpy,f32,74480,8,0,0,2.425406,1.236906
saxpy,f32,74480,9,0,0,2.376649,1.262281
saxpy,f32,74480,10,0,0,2.351142,1.275976
saxpy,f32,74480,11,0,0,2.993810,1.002068
saxpy,f32,74480,12,0,0,3.049707,0.983701
saxpy,f32,74480,13,0,0,3.195872,0.938711
saxpy,f32,74480,14,0,0,2.976879,1.007767
saxpy,f32,74480,15,0,0,3.035724,0.988232
saxpy,f32,74480,16,0,0,3.136126,0.956594
saxpy,f32,74480,17,0,0,3.207640,0.935267
saxpy,f32,74480,18,0,0,3.076221,0.975223
saxpy,f32,74480,19,0,0,2.471111,1.214029
saxpy,f32,103763,0,0,0,1.353481,2.216506
saxpy,f32,103763,1,0,0,3.092231,0.970173
saxpy,f32,103763,2,0,0,3.073546,0.976071
saxpy,f32,103763,3,0,0,3.148431,0.952855
saxpy,f32,103763,4,0,0,3.213515,0.933557
saxpy,f32,103763,5,0,0,3.076280,0.975204
saxpy,f32,103763,6,0,0,3.147095,0.953260
saxpy,f32,103763,7,0,0,2.943048,1.019351
saxpy,f32,103763,8,0,0,3.120313,0.961442
saxpy,f32,103763,9,0,0,3.053558,0.982461
saxpy,f32,103763,10,0,0,1.885283,1.591273
saxpy,f32,103763,11,0,0,2.994214,1.001932
saxpy,f32,103763,12,0,0,1.599784,1.875253
saxpy,f32,103763,13,0,0,1.671798,1.794475
saxpy,f32,103763,14,0,0,2.567258,1.168562
saxpy,f32,103763,15,0,0,1.509972,1.986792
saxpy,f32,103763,16,0,0,2.652607,1.130963
saxpy,f32,103763,17,0,0,2.913875,1.029557
saxpy,f32,103763,18,0,0,3.102865,0.966848
saxpy,f32,103763,19,0,0,2.315947,1.295366
saxpy,f32,144560,0,0,0,3.110654,0.964427
saxpy,f32,144560,1,0,0,3.343077,0.897377
saxpy,f32,144560,2,0,0,2.058071,1.457676
saxpy,f32,144560,3,0,0,3.430704,0.874456
saxpy,f32,144560,4,0,0,3.526916,0.850601
saxpy,f32,144560,5,0,0,3.538051,0.847924
saxpy,f32,144560,6,0,0,3.568091,0.840786
saxpy,f32,144560,7,0,0,3.530620,0.849709
saxpy,f32,144560,8,0,0,3.499129,0.857356
saxpy,f32,144560,9,0,0,3.491818,0.859151
saxpy,f32,144560,10,0,0,2.638179,1.137148
saxpy,f32,144560,11,0,0,3.851265,0.778965
saxpy,f32,144560,12,0,0,2.348613,1.277350
saxpy,f32,144560,13,0,0,2.791627,1.074642
saxpy,f32,144560,14,0,0,3.529586,0.849958
saxpy,f32,144560,15,0,0,3.916264,0.766036
saxpy,f32,144560,16,0,0,3.633925,0.825554
saxpy,f32,144560,17,0,0,3.428466,0.875027
saxpy,f32,144560,18,0,0,4.165540,0.720195
saxpy,f32,144560,19,0,0,3.441976,0.871592
saxpy,f32,201396,0,0,0,3.751704,0.799637
saxpy,f32,201396,1,0,0,0.720735,4.162416
saxpy,f32,201396,2,0,0,2.265239,1.324364
saxpy,f32,201396,3,0,0,3.991419,0.751612
saxpy,f32,201396,4,0,0,2.166384,1.384796
saxpy,f32,201396,5,0,0,4.140392,0.724569
saxpy,f32,201396,6,0,0,4.008299,0.748447
saxpy,f32,201396,7,0,0,4.067845,0.737491
saxpy,f32,201396,8,0,0,4.084841,0.734423
saxpy,f32,201396,9,0,0,3.906564,0.767938
saxpy,f32,201396,10,0,0,4.185871,0.716697
saxpy,f32,201396,11,0,0,4.335777,0.691918
saxpy,f32,201396,12,0,0,2.555646,1.173871
saxpy,f32,201396,13,0,0,3.382242,0.886986
saxpy,f32,201396,14,0,0,3.449056,0.869803
saxpy,f32,201396,15,0,0,2.255952,1.329815
saxpy,f32,201396,16,0,0,3.541206,0.847169
saxpy,f32,201396,17,0,0,3.575278,0.839096
saxpy,f32,201396,18,0,0,2.025281,1.481276
saxpy,f32,201396,19,0,0,3.223519,0.930660
saxpy,f32,280578,0,0,0,3.323888,0.902558
saxpy,f32,280578,1,0,0,4.174381,0.718669
saxpy,f32,280578,2,0,0,4.264732,0.703444
saxpy,f32,280578,3,0,0,4.045810,0.741508
saxpy,f32,280578,4,0,0,3.520729,0.852096
saxpy,f32,280578,5,0,0,3.283339,0.913704
saxpy,f32,280578,6,0,0,3.606602,0.831808
saxpy,f32,280578,7,0,0,2.828680,1.060565
saxpy,f32,280578,8,0,0,3.357196,0.893603
saxpy,f32,280578,9,0,0,3.371537,0.889802
saxpy,f32,280578,10,0,0,3.547863,0.845579
saxpy,f32,280578,11,0,0,3.547729,0.845611
saxpy,f32,280578,12,0,0,2.137622,1.403429
saxpy,f32,280578,13,0,0,1.819173,1.649101
saxpy,f32,280578,14,0,0,1.474864,2.034086
saxpy,f32,280578,15,0,0,3.479708,0.862141
saxpy,f32,280578,16,0,0,3.549210,0.845259
saxpy,f32,280578,17,0,0,3.569528,0.840447
saxpy,f32,280578,18,0,0,3.537664,0.848017
saxpy,f32,280578,19,0,0,2.757485,1.087948
saxpy,f32,390892,0,0,0,3.158173,0.949916
saxpy,f32,390892,1,0,0,4.255844,0.704913
saxpy,f32,390892,2,0,0,2.143923,1.399304
saxpy,f32,390892,3,0,0,4.251516,0.705631
saxpy,f32,390892,4,0,0,4.209146,0.712734
saxpy,f32,390892,5,0,0,4.273267,0.702039
saxpy,f32,390892,6,0,0,4.186583,0.716575
saxpy,f32,390892,7,0,0,4.215956,0.711582
saxpy,f32,390892,8,0,0,2.402064,1.248926
saxpy,f32,390892,9,0,0,2.446649,1.226167
saxpy,f32,390892,10,0,0,3.954546,0.758621
saxpy,f32,390892,11,0,0,3.206515,0.935595
saxpy,f32,390892,12,0,0,4.232664,0.708773
saxpy,f32,390892,13,0,0,3.592719,0.835022
saxpy,f32,390892,14,0,0,3.167155,0.947222
saxpy,f32,390892,15,0,0,2.281946,1.314668
saxpy,f32,390892,16,0,0,3.811527,0.787086
saxpy,f32,390892,17,0,0,4.371938,0.686195
saxpy,f32,390892,18,0,0,3.635793,0.825130
saxpy,f32,390892,19,0,0,2.515889,1.192421
saxpy,f32,544578,0,0,0,2.189755,1.370017
saxpy,f32,544578,1,0,0,2.905773,1.032428
saxpy,f32,544578,2,0,0,4.394724,0.682637
saxpy,f32,544578,3,0,0,3.532455,0.849268
saxpy,f32,544578,4,0,0,3.677849,0.815694
saxpy,f32,544578,5,0,0,2.936039,1.021785
saxpy,f32,544578,6,0,0,4.218468,0.711159
saxpy,f32,544578,7,0,0,2.123802,1.412561
saxpy,f32,544578,8,0,0,3.274021,0.916304
saxpy,f32,544578,9,0,0,3.049354,0.983815
saxpy,f32,544578,10,0,0,4.213751,0.711955
saxpy,f32,544578,11,0,0,4.143869,0.723961
saxpy,f32,544578,12,0,0,4.371318,0.686292
saxpy,f32,544578,13,0,0,4.249344,0.705991
saxpy,f32,544578,14,0,0,2.642635,1.135231
saxpy,f32,544578,15,0,0,3.891824,0.770847
saxpy,f32,544578,16,0,0,3.325777,0.902045
saxpy,f32,544578,17,0,0,4.406191,0.680860
saxpy,f32,544578,18,0,0,4.470778,0.671024
saxpy,f32,544578,19,0,0,4.592210,0.653280
saxpy,f32,758688,0,0,0,3.679313,0.815369
saxpy,f32,758688,1,0,0,0.655736,4.575011
saxpy,f32,758688,2,0,0,3.883881,0.772423
saxpy,f32,758688,3,0,0,3.826545,0.783997
saxpy,f32,758688,4,0,0,4.190772,0.715859
saxpy,f32,758688,5,0,0,2.873928,1.043868
saxpy,f32,758688,6,0,0,3.707968,0.809069
saxpy,f32,758688,7,0,0,3.938561,0.761699
saxpy,f32,758688,8,0,0,4.049289,0.740871
saxpy,f32,758688,9,0,0,4.373703,0.685918
saxpy,f32,758688,10,0,0,4.331899,0.692537
saxpy,f32,758688,11,0,0,4.470528,0.671062
saxpy,f32,758688,12,0,0,4.390446,0.683302
saxpy,f32,758688,13,0,0,4.485262,0.668857
saxpy,f32,758688,14,0,0,4.557866,0.658203
saxpy,f32,758688,15,0,0,3.059238,0.980636
saxpy,f32,758688,16,0,0,4.158305,0.721448
saxpy,f32,758688,17,0,0,4.372430,0.686117
saxpy,f32,758688,18,0,0,4.218078,0.711224
saxpy,f32,758688,19,0,0,4.502403,0.666311
saxpy,f32,1056978,0,0,0,2.860211,1.048874
saxpy,f32,1056978,1,0,0,4.116002,0.728863
saxpy,f32,1056978,2,0,0,3.247368,0.923825
saxpy,f32,1056978,3,0,0,3.320430,0.903497
saxpy,f32,1056978,4,0,0,3.371088,0.889920
saxpy,f32,1056978,5,0,0,2.818691,1.064324
saxpy,f32,1056978,6,0,0,3.824065,0.784506
saxpy,f32,1056978,7,0,0,3.282218,0.914016
saxpy,f32,1056978,8,0,0,3.673459,0.816669
saxpy,f32,1056978,9,0,0,3.927275,0.763888
saxpy,f32,1056978,10,0,0,4.163326,0.720578
saxpy,f32,1056978,11,0,0,4.045938,0.741484
saxpy,f32,1056978,12,0,0,4.306483,0.696624
saxpy,f32,1056978,13,0,0,3.202405,0.936796
saxpy,f32,1056978,14,0,0,1.640170,1.829079
saxpy,f32,1056978,15,0,0,3.786779,0.792230
saxpy,f32,1056978,16,0,0,4.297649,0.698056
saxpy,f32,1056978,17,0,0,4.234191,0.708518
saxpy,f32,1056978,18,0,0,3.152701,0.951565
saxpy,f32,1056978,19,0,0,2.465705,1.216691
saxpy,f32,1472547,0,0,0,2.063901,1.453558
saxpy,f32,1472547,1,0,0,2.297987,1.305490
saxpy,f32,1472547,2,0,0,2.617194,1.146266
saxpy,f32,1472547,3,0,0,2.891952,1.037362
saxpy,f32,1472547,4,0,0,3.512067,0.854198
saxpy,f32,1472547,5,0,0,2.723593,1.101486
saxpy,f32,1472547,6,0,0,2.673968,1.121928
saxpy,f32,1472547,7,0,0,3.111158,0.964271
saxpy,f32,1472547,8,0,0,2.525932,1.187681
saxpy,f32,1472547,9,0,0,3.479478,0.862198
saxpy,f32,1472547,10,0,0,4.001973,0.749630
saxpy,f32,1472547,11,0,0,4.084166,0.734544
saxpy,f32,1472547,12,0,0,4.339325,0.691352
saxpy,f32,1472547,13,0,0,3.011882,0.996055
saxpy,f32,1472547,14,0,0,3.009054,0.996991
saxpy,f32,1472547,15,0,0,3.401806,0.881884
saxpy,f32,1472547,16,0,0,4.173333,0.718850
saxpy,f32,1472547,17,0,0,2.887432,1.038985
saxpy,f32,1472547,18,0,0,3.835195,0.782229
saxpy,f32,1472547,19,0,0,3.904042,0.768434
saxpy,f32,2051504,0,0,0,2.656305,1.129388
saxpy,f32,2051504,1,0,0,3.384915,0.886285
saxpy,f32,2051504,2,0,0,3.690381,0.812924
saxpy,f32,2051504,3,0,0,2.581634,1.162055
saxpy,f32,2051504,4,0,0,3.033818,0.988853
saxpy,f32,2051504,5,0,0,2.597964,1.154750
saxpy,f32,2051504,6,0,0,1.692260,1.772778
saxpy,f32,2051504,7,0,0,1.754934,1.709466
saxpy,f32,2051504,8,0,0,2.625205,1.142768
saxpy,f32,2051504,9,0,0,3.107195,0.965501
saxpy,f32,2051504,10,0,0,3.352820,0.894769
saxpy,f32,2051504,11,0,0,3.668187,0.817843
saxpy,f32,2051504,12,0,0,3.936360,0.762125
saxpy,f32,2051504,13,0,0,2.546229,1.178213
saxpy,f32,2051504,14,0,0,3.011274,0.996256
saxpy,f32,2051504,15,0,0,2.812709,1.066587
saxpy,f32,2051504,16,0,0,3.075852,0.975340
saxpy,f32,2051504,17,0,0,2.080878,1.441699
saxpy,f32,2051504,18,0,0,2.319943,1.293135
saxpy,f32,2051504,19,0,0,2.641788,1.135594
saxpy,f32,2858088,0,0,0,1.690013,1.775134
saxpy,f32,2858088,1,0,0,2.323174,1.291337
saxpy,f32,2858088,2,0,0,1.568389,1.912791
